import time: self [us] | cumulative | imported package
import time:      1017 |     194140 |         litestar._openapi.datastructures
import time:       940 |        940 |                 litestar._openapi.schema_generation.plugins.dataclass
import time:       500 |        500 |                       advanced_alchemy
import time:        30 |        529 |                     advanced_alchemy.service
import time:      1946 |       2474 |                   litestar.pagination
import time:       804 |       3278 |                 litestar._openapi.schema_generation.plugins.pagination
import time:       942 |        942 |                 litestar._openapi.schema_generation.plugins.struct
import time:      1087 |       1087 |                 litestar._openapi.schema_generation.plugins.typed_dict
import time:      1238 |       7484 |               litestar._openapi.schema_generation.plugins
import time:       976 |        976 |                 litestar._openapi.schema_generation.constrained_fields
import time:       820 |        820 |                 litestar._openapi.schema_generation.utils
import time:      1189 |       2984 |               litestar._openapi.schema_generation.schema
import time:      1084 |      11551 |             litestar._openapi.schema_generation
import time:      1007 |      12558 |           litestar._openapi.parameters
import time:      1141 |       1141 |           litestar._openapi.request_body
import time:       947 |        947 |           litestar._openapi.responses
import time:      1034 |      15679 |         litestar._openapi.path_item
import time:       952 |        952 |               litestar.routes.base
import time:      1002 |       1953 |             litestar.routes.asgi
import time:       899 |        899 |             litestar.routes.http
import time:      1297 |       1297 |             litestar.routes.websocket
import time:       964 |       5112 |           litestar.routes
import time:      1166 |       6277 |         litestar.router
import time:      1159 |     217991 |       litestar._openapi.plugin
import time:       910 |        910 |         litestar.config
import time:      1629 |       2539 |       litestar.config.allowed_hosts
import time:      1305 |       1305 |         litestar.config.response_cache
import time:      1345 |       1345 |             litestar.events.emitter
import time:       847 |        847 |             litestar.events.listener
import time:       860 |       3051 |           litestar.events
import time:        27 |       3077 |         litestar.events.emitter
import time:      2505 |       6886 |       litestar.config.app
import time:      3606 |       3606 |           litestar.logging.config
import time:      1706 |       5311 |         litestar.logging
import time:        42 |       5352 |       litestar.logging.config
import time:       777 |        777 |               litestar.middleware._utils
import time:      1411 |       2188 |             litestar.middleware.authentication
import time:       877 |        877 |             litestar.middleware.base
import time:      1274 |       4338 |           litestar.middleware
import time:       844 |       5182 |         litestar.middleware._internal
import time:      1062 |       6243 |       litestar.middleware._internal.cors
import time:      1023 |       1023 |           litestar.static_files.base
import time:      1246 |       1246 |           litestar.static_files.config
import time:       854 |       3122 |         litestar.static_files
import time:        28 |       3150 |       litestar.static_files.base
import time:       897 |        897 |         litestar.stores
import time:      1011 |       1011 |           litestar.stores.base
import time:       952 |       1962 |         litestar.stores.memory
import time:       890 |       3748 |       litestar.stores.registry
import time:      1299 |     399628 |     litestar.app
import time:        79 |         79 |           _csv
import time:      1019 |       1098 |         csv
import time:       833 |        833 |             zipfile._path.glob
import time:       963 |       1796 |           zipfile._path
import time:      1494 |       3290 |         zipfile
import time:       918 |        918 |               email.header
import time:       766 |       1683 |             email._policybase
import time:       836 |        836 |             email._encoded_words
import time:       669 |        669 |             email.iterators
import time:      1064 |       4252 |           email.message
import time:      1091 |       1091 |             importlib.metadata._functools
import time:       736 |       1827 |           importlib.metadata._text
import time:      1049 |       7126 |         importlib.metadata._adapters
import time:      1346 |       1346 |         importlib.metadata._meta
import time:       819 |        819 |         importlib.metadata._collections
import time:       772 |        772 |         importlib.metadata._itertools
import time:      1985 |       1985 |               importlib.resources.abc
import time:       798 |        798 |               importlib.resources._adapters
import time:       946 |       3727 |             importlib.resources._common
import time:       692 |        692 |             importlib.resources._legacy
import time:       654 |       5072 |           importlib.resources
import time:       780 |       5851 |         importlib.abc
import time:      1588 |      21886 |       importlib.metadata
import time:      1115 |      23001 |     litestar.utils.version
import time:      1081 |       1081 |       email.feedparser
import time:       727 |       1807 |     email.parser
import time:      3931 |     428365 |   litestar
import time:       910 |        910 |       litestar.middleware.compression.facade
import time:      1053 |       1053 |           gzip
import time:       929 |       1981 |         litestar.middleware.compression.gzip_facade
import time:       723 |       2704 |       litestar.middleware.compression.middleware
import time:       800 |       4413 |     litestar.middleware.compression
import time:      1553 |       5966 |   litestar.config.compression
import time:      1304 |       1304 |   litestar.config.cors
import time:      1025 |       1025 |                   pydantic_core._pydantic_core
import time:      7052 |       7052 |                   pydantic_core.core_schema
import time:      1351 |       9427 |                 pydantic_core
import time:       767 |      10193 |               pydantic.version
import time:       873 |      11066 |             pydantic.warnings
import time:       952 |      12017 |           pydantic._migration
import time:      1209 |       1209 |               typing_inspection
import time:      2034 |       2034 |               typing_inspection.typing_objects
import time:      1618 |       4860 |             typing_inspection.introspection
import time:       991 |        991 |             pydantic._internal
import time:       960 |        960 |                 pydantic._internal._namespace_utils
import time:       939 |       1899 |               pydantic._internal._typing_extra
import time:      1163 |       3061 |             pydantic._internal._repr
import time:      1223 |      10134 |           pydantic.errors
import time:      1134 |      23284 |         pydantic
import time:      1660 |       1660 |           fractions
import time:      1666 |       1666 |               sysconfig
import time:      1412 |       3077 |             zoneinfo._tzpath
import time:       799 |        799 |             zoneinfo._common
import time:       897 |        897 |             _zoneinfo
import time:      1038 |       5810 |           zoneinfo
import time:       778 |        778 |           pydantic._internal._import_utils
import time:       953 |       9199 |         pydantic._internal._validators
import time:       955 |        955 |                 pydantic.v1.typing
import time:      2383 |       3338 |               pydantic.v1.errors
import time:       434 |        434 |                   cython
import time:       700 |       1134 |                 pydantic.v1.version
import time:      1339 |       2472 |               pydantic.v1.utils
import time:       936 |       6745 |             pydantic.v1.class_validators
import time:        50 |         50 |                     _json
import time:       465 |        514 |                   json.scanner
import time:       661 |       1175 |                 json.decoder
import time:       527 |        527 |                 json.encoder
import time:       696 |       2397 |               json
import time:      1346 |       3743 |             pydantic.v1.config
import time:       939 |        939 |                   colorsys
import time:       970 |       1908 |                 pydantic.v1.color
import time:      1441 |       1441 |                     pydantic.v1.datetime_parse
